YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,17.7,25.9,9.6,13.9,31,81.4,137.6,132.1,140,61.3,26.7,17.6,54.5,351,228.1,50.1,694.8
1902,22,10.5,8.6,12.1,35.7,85.8,127.2,106.6,130.1,69.8,28.9,31.1,56.3,319.5,228.8,72.8,668.2
1903,23.2,18.4,19.2,14.2,28.3,121.1,107.6,136.6,136.7,62.4,18.1,16.6,61.7,365.3,217.1,40.7,702.5
1904,13.1,11,14.4,20.8,58,100.6,125.6,112.9,131.6,85.6,34.4,31.3,93.2,339.2,251.6,86,739.4
1905,24,30.8,24.4,18.6,30.9,109.6,115.9,124.2,144.1,58.5,46.3,49.4,73.9,349.6,248.8,97.9,776.5
1906,20.7,27.7,22.3,22.6,29.9,72.2,122.8,145,141.7,73.1,38.3,30.2,74.8,340,253.1,69.5,746.4
1907,20.6,18.8,7.6,16.4,48.6,79.5,122.7,132.1,108,82.8,50.1,24.8,72.6,334.3,240.9,63.3,712.1
1908,20,18.4,10.7,23.2,46,80.3,135.1,129.1,125.7,50.1,22.8,21.2,79.8,344.5,198.5,44.9,682.5
1909,13.4,10.3,15.9,16.1,27.4,93.3,125.2,141.6,100.9,54.2,15.8,32.9,59.4,360.1,170.9,60.9,647
1910,17,11,14.4,12.2,35.1,99.9,116,121.2,114.5,86.7,19.5,16.8,61.7,337,220.8,59.9,664.3
1911,21.2,21.9,18.4,20.5,43.7,72.1,131.1,99.2,97.1,94.4,40.4,25.7,82.6,302.4,231.9,71.6,685.6
1912,25.3,20.6,15.9,12.8,35.4,126.6,98.6,110.5,114.8,91,19.1,21.3,64.1,335.7,224.8,63.1,691.9
1913,23.9,17.9,20.7,26.3,47.5,137.3,115.5,96.4,169.6,52.9,35.1,31.1,94.5,349.3,257.7,71.6,774.4
1914,28.1,12.4,12.6,25.7,79.9,98.3,101.7,117.3,118.2,92.7,31.7,36.9,118.2,317.3,242.5,83.3,755.4
1915,32,14.4,22.2,17.3,33.7,80.6,122.4,113.4,142.9,60.9,22,26.5,73.1,316.4,225.8,67.8,688.2
1916,28.1,13.2,12.9,16.4,36.2,82.8,129.3,157.9,141.4,70.2,31,20.1,65.5,370,242.6,59.1,739.5
1917,21.7,17.3,10.6,12.3,27.6,66.1,130.1,107.3,105.3,54,25.7,15,50.6,303.6,185,49.7,593.1
1918,22.5,12.3,21.7,13.9,32.7,96.3,103,127.3,113.5,96.4,27.4,30.5,68.3,326.7,237.4,69.6,697.6
1919,24.9,14.2,16.8,21,31.6,106.4,148.1,115.5,165.1,119.6,46,21.7,69.4,370.1,330.7,60.2,831
1920,26.5,12,9.3,13.4,47.4,105,102.1,123.7,102.1,55.2,24.6,23.5,70.1,330.8,181.9,45.2,644.7
1921,10,11.7,10.2,20.7,37.3,79.5,128.8,107.4,128.3,98.7,29.4,22.5,68.2,315.6,256.3,48.7,684.4
1922,14.4,11.8,15.8,15.5,34.2,115.1,114.4,97.8,161.9,82.2,34.8,15.7,65.6,327.3,278.9,57.3,713.7
1923,14.3,27.3,26.4,12.1,27.3,103,106.5,115.7,124.3,81.1,41.7,44.5,65.8,325.2,247,77.2,724
1924,19.6,13.1,10.8,11.3,50,110.2,111.5,112.9,151.2,45.6,11.9,31.9,72.1,334.7,208.7,68.2,680.1
1925,26.6,9.7,16.4,16.2,45.2,125.3,116.5,105.7,158.7,90.1,45.2,65,77.8,347.5,293.9,101.3,820.6
1926,28.4,7.8,16.5,21.6,33.4,110.5,142.6,125.2,137,99.8,20.4,28.4,71.5,378.2,257.2,63.3,771.6
1927,9.6,25.4,9.1,18.5,39.2,132.3,115.3,95.4,162.2,73.7,21.2,40.2,66.8,343,257.2,87.6,742.1
1928,27.9,19.5,13,8.4,40.2,69.6,121.5,111.8,157.8,65.8,38.6,21.8,61.6,302.9,262.3,43,695.9
1929,16.2,5,7.9,6.6,46.3,85,131.1,111.7,140.8,52.5,42.1,24.7,60.8,327.8,235.4,69.2,670
1930,24.5,20,16.9,16.5,73.3,108.6,112.5,90.4,77.2,131.2,44.7,32.8,106.7,311.5,253.1,107.6,748.6
1931,43.5,31.3,7.3,14.3,45,103.7,185.8,123.2,122.4,61.5,18.4,43.9,66.6,412.7,202.3,89.7,800.2
1932,24.9,20.9,13.1,13,28.3,95.2,132.2,135.6,149.8,109.4,16.4,39.6,54.5,363,275.5,80.7,778.4
1933,23.5,17.5,5.7,13.6,47.1,77.2,136,173.2,200.9,59.5,19.4,14.5,66.4,386.4,279.8,49.8,788.2
1934,20.6,14.8,18.5,21,60.5,67.6,117.3,118.6,151.1,51.7,14.6,23,99.9,303.5,217.4,74.4,679.2
1935,25.5,25.9,16.4,14.5,43,124.9,126.2,132.8,154.7,61,16.7,30,73.9,384,232.4,52.9,771.6
1936,14.9,7.9,11.9,18.7,47.9,80.6,158.5,127.1,161.6,69.3,32.7,28.2,78.5,366.2,263.6,81.2,759.4
1937,33.6,19.4,14.2,19.3,62.2,97,138.1,107,135.1,64,10.5,41.8,95.7,342.1,209.6,80.6,742.1
1938,18,20.8,13.4,15,41,114.1,129.8,112,134.6,32.8,29.7,16,69.4,355.8,197.1,43,677.1
1939,20.7,6.3,6.8,19.9,37.9,96.5,94,105.6,137.7,88.1,17.1,33.8,64.6,296.1,242.9,64.6,664.4
1940,22,8.7,24.1,8.2,35.8,103.5,97.4,109,77.2,48.4,44.4,59.9,68,309.9,170,98.3,638.6
1941,19.1,19.3,20.3,25,56.9,114.9,109.3,104.5,170.4,89.6,43.7,45.5,102.2,328.7,303.7,78.1,818.4
1942,14.4,18.2,10,15.5,30.3,90,114.9,161,148.4,44.3,41.6,26.1,55.7,365.9,234.3,66,714.7
1943,26.8,13,12.2,13.4,42.4,106.9,106.5,117,162.1,89.8,28.5,34.6,68,330.4,280.4,69.8,753.2
