YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,2.2,3,1.3,1.6,3,6.5,11.1,10.4,9.5,5.2,2.6,2,5.9,28,17.3,6.1,58.3
1902,2.6,1.4,1.2,1.5,3.2,6.7,10.6,9.1,9.2,5.5,2.9,3.6,5.9,26.5,17.6,8.9,57.6
1903,3,2.3,2.1,1.6,2.7,8.6,9.4,10.8,9.5,5.1,1.9,2.2,6.4,28.8,16.5,5.4,59.1
1904,1.6,1.6,1.6,1.9,4.2,6.8,10.5,9.7,9.4,6.6,3.1,3.4,7.8,27,19.1,9.5,60.5
1905,3,3.1,2.4,2,2.8,8.1,10.2,9.7,9.8,5.1,3.7,4.5,7.2,28,18.6,10.5,64.5
1906,2.8,3.2,2.1,2.3,3,6,10.7,11.3,9.5,6,3.2,3.3,7.4,28,18.7,8.1,63.4
1907,2.6,2.3,1.1,1.8,3.2,6.3,10.6,10.5,8,6.5,4.1,2.8,6.1,27.5,18.6,7.8,59.8
1908,2.7,2.3,1.5,2.2,3.6,6.5,11.1,10.6,9,4.3,2.5,2.4,7.4,28.3,15.8,5.5,58.9
1909,1.6,1.5,1.4,1.6,2.4,7.1,10.7,11,7.9,4.3,1.5,3.6,5.4,28.8,13.7,6.9,54.6
1910,2,1.3,1.8,1.4,2.8,7.5,9.9,9.9,8.7,6.4,2.1,2.1,6,27.3,17.1,7.4,55.7
1911,2.7,2.6,2.3,2,3.6,6,10.9,9.1,7.8,7,3.5,3.1,7.9,26,18.4,8.5,60.7
1912,2.7,2.6,1.7,1.5,2.8,8.5,9,9.5,8.7,6.7,2.1,2.7,6,27,17.4,7.8,58.5
1913,2.9,2.2,1.9,2.4,3.4,8.7,10,8.9,10.5,4.6,3.4,3.3,7.7,27.6,18.4,8.2,62.1
1914,3,1.9,1.7,2.3,4.7,7.3,9.3,9.9,8.8,6.6,3.1,3.7,8.6,26.5,18.5,9.2,62.2
1915,3.5,2,2.2,1.9,2.9,6.3,10.3,9.7,9.7,4.9,2.1,2.8,7,26.3,16.7,7.8,58.2
1916,3.2,1.8,1.6,1.8,3.1,6.1,10.2,11.4,9.4,5.5,2.4,2.2,6.5,27.7,17.3,6.9,58.6
1917,2.8,1.9,1.3,1.5,2.7,5.6,10.6,9.3,8.3,4.2,2.3,1.5,5.6,25.5,14.8,5.7,52
1918,2.5,1.7,2,1.6,3,7.5,9.3,10.3,8.6,5.9,2.7,3.4,6.7,27,17.2,8.6,58.5
1919,3.1,2.1,1.9,2.2,2.9,7.7,11.5,9.8,9.9,7.3,3.7,2.7,7,29,21,7.7,64.9
1920,3.4,1.6,1.6,1.2,3.7,7.3,9,10.1,8,5,2.6,2.6,6.4,26.4,15.5,6,56
1921,1.5,1.9,1.3,1.9,3,6.4,10.6,9.4,9.1,6.2,2.8,2.4,6.2,26.4,18.1,6.3,56.6
1922,2.1,1.7,1.6,1.8,3,8.1,10.1,9,10.4,6.1,3.4,1.9,6.4,27.2,19.8,7.3,59.1
1923,2.3,3.1,2.6,1.5,2.6,7.6,9.7,9.9,9.1,6.3,3.6,3.9,6.7,27.2,19,8.3,62.3
1924,2.6,1.7,1.4,1.4,3.6,7.4,9.7,9.6,9.9,3.9,1.4,3.3,6.3,26.8,15.2,7.1,55.9
1925,2.4,1.4,2,1.9,3.5,8,10.1,9.4,10.1,6.7,3.6,5,7.4,27.5,20.4,9.5,64.1
